n,trials,erdos_k_acc,clique_k_acc,combined_k_acc,erdos_ks_acc,clique_ks_acc,combined_ks_acc,erdos_k_ms,clique_k_ms,erdos_ks_ms,clique_ks_ms,seed
10,100,1,0.357143,0.64,1,1,1,0.001,0.00566964,0.00286364,0.00286429,110100
10,1000,1,0.330508,0.684,1,1,1,0.000605682,0.00246525,0.00210057,0.00203814,111000
10,5000,1,0.340809,0.6708,1,1,1,0.000531642,0.00206644,0.00176025,0.0016805,115000
10,10000,0.999594,0.34359,0.667,1,1,1,0.000535517,0.00183533,0.00179809,0.00164517,120000
10,20000,0.998682,0.339418,0.6646,1,1,1,0.000475803,0.00181361,0.00176421,0.00160986,130000
20,100,0.98,0.16,0.57,1,1,1,0.002902,0.013242,0.023156,0.009564,120100
20,1000,0.989733,0.175439,0.572,1,1,1,0.00262587,0.0152339,0.0123187,0.00882515,121000
20,5000,0.986072,0.156413,0.5734,1,1,1,0.00249996,0.0119803,0.0103254,0.00766208,125000
20,10000,0.986108,0.155534,0.5621,1,1,1,0.0026288,0.0125179,0.0105415,0.00822891,130000
20,20000,0.986396,0.161951,0.57405,1,1,1,0.00273266,0.0123229,0.0099272,0.00780564,140000
50,100,0.618182,0.4,0.52,1,1,1,0.0450673,0.177156,0.268907,0.69542,150100
50,1000,0.602687,0.43215,0.521,0.992322,0.985386,0.989,0.0401424,0.167742,0.26477,0.6793,151000
50,5000,0.579073,0.415465,0.4974,0.996805,0.983974,0.9904,0.0567016,0.237244,0.402864,1.01401,155000
50,10000,0.587438,0.401204,0.4946,0.997009,0.985155,0.9911,0.0766357,0.337013,0.574767,1.42646,160000
50,20000,0.582314,0.399062,0.49045,0.995589,0.986136,0.99085,0.0610381,0.266136,0.452269,1.14296,170000
75,100,0.309091,0.466667,0.38,0.981818,1,0.99,0.258998,1.19538,2.03751,6.88352,175100
75,1000,0.302857,0.526316,0.409,0.986667,0.995789,0.991,0.232011,1.1877,1.95806,6.79455,176000
75,5000,0.308956,0.529267,0.4166,0.993352,0.993041,0.9932,0.228985,1.15159,1.91563,6.59124,180000
75,10000,0.327938,0.527981,0.4291,0.989278,0.994068,0.9917,0.227265,1.11809,1.93626,6.59335,185000
75,20000,0.330742,0.5144,0.42225,0.989537,0.994782,0.99215,0.225434,1.11145,1.9225,6.5463,195000
100,100,0.254902,0.612245,0.43,1,1,1,0.5331,2.93903,5.35128,21.2563,200100
100,1000,0.203704,0.607004,0.411,0.985597,0.996109,0.991,0.539899,2.72167,5.25032,20.2039,201000
100,5000,0.218699,0.605512,0.4152,0.979675,0.996063,0.988,0.550207,2.84186,5.2727,20.686,205000
100,10000,0.20811,0.600724,0.4032,0.978334,0.995371,0.9868,0.746713,3.82623,7.00075,27.1095,210000
100,20000,0.211673,0.589954,0.4007,0.978213,0.997098,0.98765,0.840426,4.33137,7.83253,30.4261,220000
150,100,0.127273,0.733333,0.4,0.927273,1,0.96,2.82252,15.0206,27.7193,124.239,250100
150,1000,0.127049,0.679688,0.41,0.965164,0.998047,0.982,2.85891,14.8342,28.2909,125.723,251000
150,5000,0.121009,0.661389,0.3872,0.965313,0.999594,0.9822,2.95684,15.0182,28.9214,126.346,255000
150,10000,0.117941,0.687913,0.4023,0.965476,0.997996,0.9817,2.9068,14.6201,28.746,126.263,260000
150,20000,0.120471,0.67919,0.3993,0.967462,0.998798,0.9831,2.9306,15.109,29.785,129.857,270000
