trial_id,graph_type,true_mincut,karger_cut,karger_ms,karger_correct,ks_cut,ks_ms,ks_correct
1,erdos,0,0,0.1767,1,0,6.2291,1
2,clique,5,37,0.9853,0,5,16.3006,1
3,erdos,3,5,0.2222,0,3,5.3697,1
4,clique,5,37,0.9755,0,5,15.4731,1
5,clique,5,37,0.9486,0,5,15.9507,1
6,clique,5,5,1.0173,1,5,17.1595,1
7,clique,5,5,1.1239,1,5,16.2323,1
8,clique,5,5,1.0791,1,5,15.4698,1
9,clique,5,38,1.2484,0,5,15.9313,1
10,clique,5,5,1.2343,1,5,16.5088,1
11,erdos,1,1,0.2534,1,1,4.8664,1
12,clique,5,5,1.1786,1,5,19.9409,1
13,erdos,3,5,0.3159,0,3,6.4904,1
14,clique,5,72,1.0736,0,5,15.5044,1
15,erdos,2,2,0.2326,1,2,5.0128,1
16,clique,5,5,0.9235,1,5,18.8526,1
17,clique,5,37,0.8916,0,5,17.9526,1
18,clique,5,37,1.0655,0,5,15.4403,1
19,clique,5,36,1.3648,0,5,17.5684,1
20,erdos,2,3,0.1791,0,2,4.597,1
21,erdos,2,5,0.1715,0,2,4.2787,1
22,clique,5,5,1.0324,1,5,16.8976,1
23,erdos,2,3,0.2267,0,2,4.555,1
24,clique,5,36,1.0685,0,5,20.0104,1
25,clique,5,37,1.002,0,5,16.74,1
26,clique,5,5,0.9862,1,5,17.2941,1
27,clique,5,36,0.9237,0,5,15.0251,1
28,clique,5,5,0.9807,1,5,16.4961,1
29,erdos,2,5,0.2453,0,2,5.1102,1
30,clique,5,37,1.0897,0,5,15.6623,1
31,clique,5,36,1.0497,0,5,16.878,1
32,erdos,1,8,0.2373,0,1,6.0837,1
33,erdos,2,2,0.2053,1,2,5.1163,1
34,clique,5,5,1.1474,1,5,16.2095,1
35,clique,5,5,0.9883,1,5,20.6092,1
36,erdos,2,3,0.1918,0,3,4.9869,0
37,clique,5,37,2.0915,0,5,16.4622,1
38,erdos,2,3,0.2815,0,2,6.535,1
39,clique,5,36,1.5332,0,5,27.2122,1
40,clique,5,5,1.032,1,5,20.6451,1
41,clique,5,5,1.1361,1,5,26.844,1
42,erdos,2,8,0.2332,0,2,7.3493,1
43,clique,5,36,1.3831,0,5,23.9842,1
44,clique,5,36,1.3215,0,5,27.2774,1
45,clique,5,5,2.4282,1,5,27.9567,1
46,clique,5,36,1.6548,0,5,22.6294,1
47,clique,5,5,1.5807,1,5,19.9422,1
48,clique,5,37,1.8423,0,5,17.646,1
49,erdos,3,3,0.2869,1,3,5.4353,1
50,clique,5,36,1.2034,0,5,23.2496,1
51,erdos,1,5,0.4509,0,1,7.5802,1
52,clique,5,37,1.1305,0,5,22.1044,1
53,erdos,2,4,0.2748,0,2,4.7585,1
54,erdos,3,3,0.2079,1,3,5.5332,1
55,erdos,3,4,0.1997,0,3,4.7909,1
56,clique,5,37,0.9764,0,5,17.4386,1
57,clique,5,5,1.0789,1,5,29.2129,1
58,clique,5,37,1.6453,0,5,48.7331,1
59,clique,5,5,2.1981,1,5,54.2714,1
60,erdos,2,6,3.3576,0,2,19.8427,1
61,erdos,3,5,0.5185,0,3,24.0056,1
62,erdos,4,5,0.7336,0,4,18.4423,1
63,erdos,2,3,0.9705,0,2,15.8412,1
64,erdos,1,1,0.4822,1,1,12.7705,1
65,clique,5,37,4.3562,0,5,37.9517,1
66,erdos,1,1,0.4,1,1,11.6868,1
67,erdos,3,6,0.3911,0,3,11.5136,1
68,clique,5,5,1.6451,1,5,29.9318,1
69,erdos,3,6,0.3166,0,3,9.2797,1
70,erdos,3,4,0.4521,0,3,9.6212,1
71,clique,5,36,1.9571,0,5,38.2166,1
72,clique,5,5,2.1645,1,5,34.1482,1
73,erdos,3,4,0.5123,0,3,13.5522,1
74,clique,5,37,2.4368,0,5,46.1518,1
75,clique,5,36,2.1271,0,5,33.0725,1
76,clique,5,37,1.7221,0,5,28.9787,1
77,erdos,3,4,0.5549,0,3,9.2971,1
78,erdos,1,4,0.3042,0,1,8.2016,1
79,erdos,2,3,0.2949,0,2,9.4269,1
80,clique,5,5,2.2375,1,5,32.3906,1
81,clique,5,5,1.672,1,5,29.7456,1
82,erdos,3,3,0.3544,1,3,9.127,1
83,clique,5,5,1.6997,1,5,26.5626,1
84,clique,5,5,1.4761,1,5,26.3592,1
85,erdos,3,4,0.4506,0,3,9.4291,1
86,clique,5,36,1.5669,0,5,29.3328,1
87,clique,5,36,1.8609,0,5,25.0187,1
88,erdos,4,9,0.3113,0,4,8.2243,1
89,erdos,2,4,0.2848,0,2,15.3657,1
90,erdos,3,6,0.2808,0,3,9.6483,1
91,clique,5,37,1.4089,0,5,61.7149,1
92,erdos,1,2,5.776,0,1,19.6174,1
93,erdos,2,3,0.3287,0,2,9.2294,1
94,erdos,2,5,0.2907,0,2,8.5053,1
95,erdos,2,3,0.6016,0,2,8.808,1
96,erdos,3,6,0.2721,0,3,15.0089,1
97,clique,5,36,2.9255,0,5,34.8908,1
98,erdos,1,3,0.2647,0,1,8.4245,1
99,clique,5,38,1.8942,0,5,25.8606,1
100,clique,5,5,1.5701,1,5,27.514,1
101,erdos,2,2,0.5893,1,2,9.0289,1
102,clique,5,72,1.4762,0,5,27.8337,1
103,erdos,2,4,0.3586,0,2,10.2643,1
104,erdos,2,2,0.3202,1,2,22.0496,1
105,clique,5,5,1.9127,1,5,34.8999,1
106,clique,5,72,1.4471,0,5,34.3815,1
107,clique,5,38,1.6892,0,5,28.1875,1
108,clique,5,36,1.536,0,5,27.39,1
109,clique,5,36,1.6723,0,5,32.3287,1
110,erdos,2,3,0.4201,0,2,7.9193,1
111,erdos,3,6,0.2856,0,3,9.7705,1
112,clique,5,41,1.4031,0,5,27.589,1
113,clique,5,5,1.3071,1,5,26.5225,1
114,clique,5,5,1.6883,1,5,25.4675,1
115,clique,5,5,1.4479,1,5,27.2097,1
116,clique,5,5,1.8733,1,5,23.9868,1
117,erdos,2,3,0.3585,0,2,9.5884,1
118,erdos,3,8,0.2802,0,3,8.2705,1
119,clique,5,5,1.3895,1,5,31.0241,1
120,clique,5,5,1.5859,1,5,24.9303,1
