n,m_trials,mean_pi,variance,std_dev,mean_error,runtime_sec
1,1,0.00000000,0.00000000,0.00000000,3.14159265,0.00216105
10,1,3.60000000,0.00000000,0.00000000,0.45840735,0.00155317
100,1,3.00000000,0.00000000,0.00000000,0.14159265,0.00147537
1000,1,3.11200000,0.00000000,0.00000000,0.02959265,0.00147398
10000,1,3.15520000,0.00000000,0.00000000,0.01360735,0.00161805
100000,1,3.15032000,0.00000000,0.00000000,0.00872735,0.00161912
1000000,1,3.14196800,0.00000000,0.00000000,0.00037535,0.00356116
10000000,1,3.14211240,0.00000000,0.00000000,0.00051975,0.01534729
1,10,2.80000000,3.73333333,1.93218357,0.34159265,0.00617100
10,10,2.96000000,0.36266667,0.60221812,0.18159265,0.00506566
100,10,3.12400000,0.01224889,0.11067470,0.01759265,0.00398110
1000,10,3.14400000,0.00234667,0.04844241,0.00240735,0.00383378
10000,10,3.14608000,0.00030723,0.01752793,0.00448735,0.00471087
100000,10,3.14128000,0.00002861,0.00534928,0.00031265,0.00445500
1000000,10,3.14152560,0.00000136,0.00116585,0.00006705,0.01420121
10000000,10,3.14146788,0.00000026,0.00051379,0.00012477,0.12025321
1,100,3.28000000,2.38545455,1.54449168,0.13840735,0.05922265
10,100,3.17600000,0.27416566,0.52360830,0.03440735,0.04059175
100,100,3.19640000,0.02650812,0.16281315,0.05480735,0.04038231
1000,100,3.14408000,0.00304678,0.05519766,0.00248735,0.03820804
10000,100,3.14250800,0.00029933,0.01730112,0.00091535,0.03744660
100000,100,3.14155760,0.00002631,0.00512962,0.00003505,0.04370299
1000000,100,3.14138596,0.00000311,0.00176387,0.00020669,0.16013117
10000000,100,3.14158109,0.00000024,0.00048770,0.00001156,1.25708005
1,1000,3.12000000,2.74834835,1.65781433,0.02159265,0.44380133
10,1000,3.14880000,0.26804661,0.51773218,0.00720735,0.44186952
100,1000,3.14664000,0.02820171,0.16793365,0.00504735,0.44152371
1000,1000,3.14128400,0.00291777,0.05401634,0.00030865,0.40412219
10000,1000,3.14137480,0.00027729,0.01665193,0.00021785,0.39263994
100000,1000,3.14168328,0.00002736,0.00523063,0.00009063,0.43745442
1000000,1000,3.14162999,0.00000260,0.00161095,0.00003734,2.19648184
10000000,1000,3.14159332,0.00000027,0.00052106,0.00000067,11.73130376
