Size,Run_ID,Time_Basic,Est_Basic,Err_Basic,Time_Strat,Est_Strat,Err_Strat,Time_Anti,Est_Anti,Err_Anti
100,1,0.024,2.96,0.181593,0.024,3.24,0.0984073,0.008,3.28,0.138407
100,2,0.023,3.2,0.0584073,0.016,3.12,0.0215927,0.016,3.16,0.0184073
100,3,0.015,3.36,0.218407,0.023,3.2,0.0584073,0.008,3.24,0.0984073
100,4,0.023,3.32,0.178407,0.023,3.16,0.0184073,0.008,3.24,0.0984073
100,5,0.023,3.32,0.178407,0.016,3.2,0.0584073,0.015,3.28,0.138407
100,6,0.016,3,0.141593,0.024,3.16,0.0184073,0.008,3.24,0.0984073
100,7,0.023,3.12,0.0215927,0.016,3.2,0.0584073,0.015,3.28,0.138407
100,8,0.015,3.28,0.138407,0.024,3.08,0.0615927,0.008,3.04,0.101593
100,9,0.023,3,0.141593,0.023,3.12,0.0215927,0.008,3.48,0.338407
100,10,0.023,3.08,0.0615927,0.016,3.04,0.101593,0.016,3.04,0.101593
200,1,0.039,3.32,0.178407,0.04,3.2,0.0584073,0.024,3.22,0.0784073
200,2,0.038,3.26,0.118407,0.039,3.14,0.00159265,0.024,3.02,0.121593
200,3,0.038,3.12,0.0215927,0.039,3.2,0.0584073,0.024,2.84,0.301593
200,4,0.039,3,0.141593,0.046,3.2,0.0584073,0.017,3.16,0.0184073
200,5,0.045,3.28,0.138407,0.039,3.2,0.0584073,0.024,3.14,0.00159265
200,6,0.039,3.16,0.0184073,0.04,3.06,0.0815927,0.023,3.2,0.0584073
200,7,0.039,2.96,0.181593,0.043,3.18,0.0384073,0.024,3.08,0.0615927
200,8,0.039,3.22,0.0784073,0.046,3.16,0.0184073,0.017,3.08,0.0615927
200,9,0.038,3.3,0.158407,0.047,3.08,0.0615927,0.017,3.28,0.138407
200,10,0.046,2.96,0.181593,0.039,3.04,0.101593,0.024,3.1,0.0415927
500,1,0.101,3.08,0.0615927,0.102,3.104,0.0375927,0.057,3.208,0.0664073
500,2,0.102,2.96,0.181593,0.102,3.152,0.0104073,0.057,3.048,0.0935927
500,3,0.1,3.128,0.0135927,0.098,3.152,0.0104073,0.054,3.2,0.0584073
500,4,0.096,3.224,0.0824073,0.097,3.216,0.0744073,0.054,3.08,0.0615927
500,5,0.096,3.208,0.0664073,0.097,3.184,0.0424073,0.054,3.112,0.0295927
500,6,0.096,3.16,0.0184073,0.098,3.16,0.0184073,0.054,3.072,0.0695927
500,7,0.099,3.152,0.0104073,0.098,3.16,0.0184073,0.054,3.088,0.0535927
500,8,0.096,3.208,0.0664073,0.102,3.192,0.0504073,0.057,3.16,0.0184073
500,9,0.101,3.072,0.0695927,0.102,3.168,0.0264073,0.057,3.128,0.0135927
