Algorithm,File,BitLength,Number,Result,TimeUS,Iterations
miller,carmichael.txt,Unknown,561,0,872,5
miller,carmichael.txt,Unknown,1105,0,916,5
miller,carmichael.txt,Unknown,1729,0,797,5
miller,carmichael.txt,Unknown,2465,0,806,5
miller,carmichael.txt,Unknown,2821,0,802,5
miller,carmichael.txt,Unknown,6601,0,802,5
miller,carmichael.txt,Unknown,8911,0,848,5
miller,carmichael.txt,Unknown,10585,0,840,5
miller,carmichael.txt,Unknown,15841,0,827,5
miller,carmichael.txt,Unknown,29341,0,831,5
miller,carmichael.txt,Unknown,41041,0,812,5
miller,carmichael.txt,Unknown,46657,0,812,5
miller,carmichael.txt,Unknown,52633,0,803,5
miller,carmichael.txt,Unknown,62745,0,806,5
miller,carmichael.txt,Unknown,63973,0,792,5
miller,carmichael.txt,Unknown,75361,0,806,5
miller,carmichael.txt,Unknown,101101,0,804,5
miller,carmichael.txt,Unknown,115921,0,804,5
miller,carmichael.txt,Unknown,126217,0,805,5
miller,carmichael.txt,Unknown,171785876531986129,0,903,5
fermat,carmichael.txt,Unknown,561,1,482,1
fermat,carmichael.txt,Unknown,1105,1,442,1
fermat,carmichael.txt,Unknown,1729,1,444,1
fermat,carmichael.txt,Unknown,2465,1,439,1
fermat,carmichael.txt,Unknown,2821,0,447,1
fermat,carmichael.txt,Unknown,6601,1,439,1
fermat,carmichael.txt,Unknown,8911,0,438,1
fermat,carmichael.txt,Unknown,10585,1,443,1
fermat,carmichael.txt,Unknown,15841,1,439,1
fermat,carmichael.txt,Unknown,29341,1,444,1
fermat,carmichael.txt,Unknown,41041,1,658,1
fermat,carmichael.txt,Unknown,46657,1,756,1
fermat,carmichael.txt,Unknown,52633,1,448,1
fermat,carmichael.txt,Unknown,62745,0,438,1
fermat,carmichael.txt,Unknown,63973,1,598,1
fermat,carmichael.txt,Unknown,75361,1,790,1
fermat,carmichael.txt,Unknown,101101,1,879,1
fermat,carmichael.txt,Unknown,115921,1,851,1
fermat,carmichael.txt,Unknown,126217,1,824,1
fermat,carmichael.txt,Unknown,171785876531986129,0,816,1
miller,composites_1024.txt,1024,30141056367390292358...,0,980,5
miller,composites_1024.txt,1024,48173029512788185984...,0,938,5
miller,composites_1024.txt,1024,65409208310124059987...,0,940,5
miller,composites_1024.txt,1024,60976234663966873168...,0,940,5
miller,composites_1024.txt,1024,64777441352853808299...,0,938,5
miller,composites_1024.txt,1024,44092606603523783331...,0,1213,5
miller,composites_1024.txt,1024,80041997229230852450...,0,1705,5
miller,composites_1024.txt,1024,13931474217699202326...,0,1806,5
miller,composites_1024.txt,1024,12972006504581012516...,0,983,5
miller,composites_1024.txt,1024,91113670403124783717...,0,963,5
miller,composites_1024.txt,1024,64173200851888010439...,0,944,5
miller,composites_1024.txt,1024,12933743921433857005...,0,947,5
miller,composites_1024.txt,1024,72797560591886997684...,0,1024,5
miller,composites_1024.txt,1024,11734292991947698282...,0,1123,5
miller,composites_1024.txt,1024,52817897087742640197...,0,1208,5
miller,composites_1024.txt,1024,64403917801546612632...,0,948,5
miller,composites_1024.txt,1024,15316276626365567968...,0,950,5
miller,composites_1024.txt,1024,14407885962888497689...,0,950,5
miller,composites_1024.txt,1024,56744857633348911924...,0,1620,5
miller,composites_1024.txt,1024,61614522308545515988...,0,1709,5
fermat,composites_1024.txt,1024,30141056367390292358...,0,1016,5
fermat,composites_1024.txt,1024,48173029512788185984...,0,987,5
fermat,composites_1024.txt,1024,65409208310124059987...,0,984,5
fermat,composites_1024.txt,1024,60976234663966873168...,0,981,5
fermat,composites_1024.txt,1024,64777441352853808299...,0,986,5
fermat,composites_1024.txt,1024,44092606603523783331...,0,983,5
fermat,composites_1024.txt,1024,80041997229230852450...,0,983,5
fermat,composites_1024.txt,1024,13931474217699202326...,0,944,5
fermat,composites_1024.txt,1024,12972006504581012516...,0,945,5
fermat,composites_1024.txt,1024,91113670403124783717...,0,940,5
fermat,composites_1024.txt,1024,64173200851888010439...,0,941,5
fermat,composites_1024.txt,1024,12933743921433857005...,0,941,5
fermat,composites_1024.txt,1024,72797560591886997684...,0,936,5
fermat,composites_1024.txt,1024,11734292991947698282...,0,941,5
fermat,composites_1024.txt,1024,52817897087742640197...,0,942,5
fermat,composites_1024.txt,1024,64403917801546612632...,0,937,5
fermat,composites_1024.txt,1024,15316276626365567968...,0,944,5
fermat,composites_1024.txt,1024,14407885962888497689...,0,942,5
fermat,composites_1024.txt,1024,56744857633348911924...,0,938,5
fermat,composites_1024.txt,1024,61614522308545515988...,0,937,5
miller,composites_128.txt,128,14705070986216365197...,0,486,5
miller,composites_128.txt,128,15612038007386535140...,0,454,5
miller,composites_128.txt,128,17955558812952198912...,0,447,5
miller,composites_128.txt,128,63823080899698761689...,0,455,5
miller,composites_128.txt,128,84223671600504978871...,0,446,5
miller,composites_128.txt,128,94373981937207946471...,0,455,5
miller,composites_128.txt,128,10117654373057257661...,0,446,5
miller,composites_128.txt,128,48511728691458990067...,0,454,5
miller,composites_128.txt,128,90005374241750309291...,0,446,5
miller,composites_128.txt,128,17087378696702132550...,0,461,5
miller,composites_128.txt,128,26709457429663073539...,0,456,5
miller,composites_128.txt,128,57986911935006285314...,0,451,5
miller,composites_128.txt,128,27854208029506437085...,0,443,5
miller,composites_128.txt,128,19692638416857864196...,0,442,5
miller,composites_128.txt,128,15809234776092307805...,0,449,5
miller,composites_128.txt,128,21443592988891236338...,0,442,5
miller,composites_128.txt,128,12393254362947886625...,0,473,5
miller,composites_128.txt,128,16920852524545751693...,0,446,5
miller,composites_128.txt,128,16152793580917604681...,0,453,5
miller,composites_128.txt,128,98718296340199305903...,0,442,5
