Size,InputType,Run_ID,Time_Standard,Time_Randomized,Time_DualPivot
100,Random,1,0.014,0.015,0.013
100,Random,2,0.013,0.021,0.014
100,Random,3,0.014,0.017,0.014
100,Random,4,0.015,0.016,0.012
100,Random,5,0.013,0.016,0.012
100,Random,6,0.014,0.016,0.012
100,Random,7,0.012,0.017,0.012
100,Random,8,0.013,0.015,0.012
100,Random,9,0.014,0.014,0.012
100,Random,10,0.015,0.015,0.014
100,Sorted,1,0.098,0.016,0.022
100,Sorted,2,0.098,0.014,0.022
100,Sorted,3,0.098,0.015,0.022
100,Sorted,4,0.105,0.012,0.022
100,Sorted,5,0.099,0.012,0.022
100,Sorted,6,0.098,0.015,0.021
100,Sorted,7,0.098,0.013,0.022
100,Sorted,8,0.098,0.017,0.022
100,Sorted,9,0.098,0.014,0.022
100,Sorted,10,0.098,0.013,0.022
200,Random,1,0.035,0.037,0.036
200,Random,2,0.035,0.038,0.03
200,Random,3,0.032,0.04,0.032
200,Random,4,0.034,0.038,0.032
200,Random,5,0.033,0.04,0.032
200,Random,6,0.034,0.038,0.032
200,Random,7,0.034,0.038,0.031
200,Random,8,0.035,0.037,0.033
200,Random,9,0.032,0.033,0.031
200,Random,10,0.038,0.038,0.033
200,Sorted,1,0.391,0.032,0.082
200,Sorted,2,0.391,0.029,0.081
200,Sorted,3,0.387,0.027,0.081
200,Sorted,4,0.391,0.032,0.086
200,Sorted,5,0.42,0.029,0.085
200,Sorted,6,0.426,0.03,0.086
200,Sorted,7,0.42,0.03,0.066
200,Sorted,8,0.241,0.02,0.056
200,Sorted,9,0.278,0.022,0.06
200,Sorted,10,0.258,0.022,0.056
500,Random,1,0.067,0.07,0.071
500,Random,2,0.085,0.091,0.073
500,Random,3,0.082,0.086,0.063
500,Random,4,0.079,0.086,0.067
500,Random,5,0.084,0.098,0.081
500,Random,6,0.09,0.1,0.069
500,Random,7,0.069,0.083,0.068
500,Random,8,0.083,0.1,0.082
500,Random,9,0.09,0.105,0.079
500,Random,10,0.078,0.087,0.07
500,Sorted,1,2.411,0.116,0.545
500,Sorted,2,1.935,0.05,0.306
500,Sorted,3,1.598,0.055,0.317
500,Sorted,4,1.385,0.043,0.162
500,Sorted,5,0.934,0.033,0.142
500,Sorted,6,0.809,0.032,0.144
500,Sorted,7,0.89,0.039,0.173
500,Sorted,8,0.964,0.042,0.173
500,Sorted,9,0.879,0.036,0.159
500,Sorted,10,0.806,0.041,0.164
1000,Random,1,0.125,0.127,0.113
1000,Random,2,0.122,0.129,0.113
1000,Random,3,0.117,0.15,0.115
1000,Random,4,0.127,0.142,0.12
1000,Random,5,0.124,0.144,0.119
1000,Random,6,0.135,0.155,0.124
1000,Random,7,0.136,0.15,0.137
1000,Random,8,0.15,0.159,0.135
1000,Random,9,0.142,0.174,0.138
1000,Random,10,0.155,0.182,0.141
1000,Sorted,1,4.843,0.131,0.797
1000,Sorted,2,3.138,0.083,0.542
1000,Sorted,3,2.358,0.062,0.461
1000,Sorted,4,2.702,0.078,0.662
1000,Sorted,5,3.394,0.086,0.963
1000,Sorted,6,2.898,0.055,0.467
1000,Sorted,7,2.458,0.056,0.461
1000,Sorted,8,2.541,0.06,0.488
1000,Sorted,9,2.407,0.061,0.504
1000,Sorted,10,2.38,0.058,0.464
2000,Random,1,0.216,0.212,0.161
2000,Random,2,0.191,0.246,0.176
2000,Random,3,0.185,0.209,0.172
2000,Random,4,0.2,0.214,0.168
2000,Random,5,0.188,0.244,0.183
2000,Random,6,0.199,0.232,0.181
2000,Random,7,0.215,0.241,0.171
2000,Random,8,0.199,0.213,0.157
2000,Random,9,0.205,0.194,0.175
2000,Random,10,0.184,0.232,0.178
2000,Sorted,1,11.299,0.176,2.006
2000,Sorted,2,8.817,0.132,1.801
2000,Sorted,3,8.504,0.147,1.762
2000,Sorted,4,8.443,0.141,1.743
2000,Sorted,5,8.448,0.145,1.883
2000,Sorted,6,8.633,0.147,1.814
2000,Sorted,7,9.302,0.131,2.494
2000,Sorted,8,12.405,0.199,2.472
2000,Sorted,9,9.711,0.155,1.822
2000,Sorted,10,8.709,0.153,1.784
5000,Random,1,0.509,0.53,0.463
5000,Random,2,0.547,0.572,0.432
5000,Random,3,0.513,0.497,0.456
5000,Random,4,0.546,0.516,0.424
5000,Random,5,0.561,0.527,0.429
5000,Random,6,0.551,0.55,0.458
5000,Random,7,0.559,0.596,0.435
5000,Random,8,0.522,0.538,0.436
5000,Random,9,0.58,0.495,0.43
5000,Random,10,0.533,0.501,0.437
5000,Sorted,1,54.07,0.375,10.767
5000,Sorted,2,53.824,0.337,11.683
5000,Sorted,3,54.787,0.337,11.041
5000,Sorted,4,54.367,0.333,12.675
5000,Sorted,5,54.474,0.31,10.9
5000,Sorted,6,54.531,0.346,12.723
5000,Sorted,7,54.425,0.359,10.909
5000,Sorted,8,54.781,0.431,12.754
5000,Sorted,9,69.72,0.447,17.463
5000,Sorted,10,75.56,0.729,21.104
10000,Random,1,1.97,2.168,1.644
10000,Random,2,2.414,2.448,1.78
10000,Random,3,2.277,2.043,1.965
10000,Random,4,2.068,2.355,1.94
10000,Random,5,2.281,2.481,2.167
10000,Random,6,2.151,2.679,1.932
10000,Random,7,2.141,2.314,2.024
10000,Random,8,2.07,2.152,1.717
10000,Random,9,2.208,2.243,1.779
10000,Random,10,2.156,2.617,1.854
10000,Sorted,1,402.114,1.213,81.215
10000,Sorted,2,378.251,0.772,50.308
10000,Sorted,3,257.284,0.723,45.314
10000,Sorted,4,228.528,0.686,43.88
10000,Sorted,5,306.077,0.856,49.795
10000,Sorted,6,265.011,0.71,44.168
10000,Sorted,7,237.136,0.727,45.822
10000,Sorted,8,246.824,0.696,44.062
10000,Sorted,9,236.778,0.687,44.031
10000,Sorted,10,229.315,0.786,45.064
20000,Random,1,2.149,2.365,1.855
20000,Random,2,2.199,2.254,1.88
20000,Random,3,2.249,2.286,1.926
20000,Random,4,2.194,2.407,1.886
20000,Random,5,2.235,2.319,1.97
20000,Random,6,2.166,2.299,1.903
20000,Random,7,2.245,2.301,1.941
20000,Random,8,2.195,2.296,1.876
20000,Random,9,2.243,2.819,2.328
20000,Random,10,2.136,2.436,1.897
20000,Sorted,1,919.005,1.407,179.474
20000,Sorted,2,1039.38,1.37,182.371
20000,Sorted,3,1027.04,1.762,183.43
20000,Sorted,4,945.378,1.459,181.637
20000,Sorted,5,926.575,1.41,178.402
20000,Sorted,6,921.18,1.55,179.071
20000,Sorted,7,922.838,1.662,179.874
20000,Sorted,8,934.775,1.639,182.951
20000,Sorted,9,924.725,1.717,179.626
20000,Sorted,10,917.101,1.496,180.585
